Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,024","-0,00477264007478968","0,00286022630648331",0,0,0,"0,385204158177987","0,000283262951837511","2,10601156242849E-05","-2,1060115624285E-05","0,000268459177416828","6,8736177728217E-21","0,000268459177416828",0,0,0,0,0,0,package://NEKEespelhado/meshes/base_link.STL,"0,964705882352941","0,964705882352941","0,952941176470588",1,0,0,0,0,0,0,package://NEKEespelhado/meshes/base_link.STL,,MontagemEspelhada.step-1/Modulo NEKE.step-9,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
barra1,"0,034","0,005","-8,67361737988404E-19",0,0,0,"0,00743451332235384","1,27348599328245E-07","-4,79075438103629E-24","-2,22951024477183E-23","3,67536602194712E-06","-3,50812812321156E-24","3,67536602194712E-06",0,0,0,0,0,0,package://NEKEespelhado/meshes/barra1.STL,"0,964705882352941","0,964705882352941","0,952941176470588",1,0,0,0,0,0,0,package://NEKEespelhado/meshes/barra1.STL,,MontagemEspelhada.step-1/Barra.step-8,Sistema de coordenadas1,,yaw1,revolute,"0,08065","-0,0076329","-0,005","1,5708",0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
modulo2,"0,05665","-0,00286022630648332","0,00786022630648332",0,0,0,"0,385204158177987","0,000283262951837511","2,1060115624285E-05","2,1060115624285E-05","0,000268459177416828","-1,90014782821109E-21","0,000268459177416828",0,0,0,0,0,0,package://NEKEespelhado/meshes/modulo2.STL,"0,964705882352941","0,964705882352941","0,952941176470588",1,0,0,0,0,0,0,package://NEKEespelhado/meshes/modulo2.STL,,MontagemEspelhada.step-1/Modulo NEKE.step-8,Sistema de coordenadas2,,pitch1,revolute,"0,068","0,005","-0,005",0,0,0,barra1,0,0,1,0,0,0,0,,,,,,,,
barra2,"0,034","-0,005","-8,67361737988404E-19",0,0,0,"0,00743451332235383","1,27348599328245E-07","1,03294178992559E-22","-8,77263813703699E-23","3,67536602194712E-06","8,82325986723229E-24","3,67536602194712E-06",0,0,0,0,0,0,package://NEKEespelhado/meshes/barra2.STL,"0,964705882352941","0,964705882352941","0,952941176470588",1,0,0,0,0,0,0,package://NEKEespelhado/meshes/barra2.STL,,MontagemEspelhada.step-1/Barra.step-7,Sistema de coordenadas3,,yaw2,revolute,"0,1133","0,005","0,005",0,0,0,modulo2,0,1,0,0,0,0,0,,,,,,,,
modulo3,"0,05665","0,00286022630648331","-0,00786022630648332",0,0,0,"0,385204158177987","0,000283262951837511","-2,1060115624285E-05","-2,1060115624285E-05","0,000268459177416828","-1,0998271741934E-20","0,000268459177416828",0,0,0,0,0,0,package://NEKEespelhado/meshes/modulo3.STL,"0,964705882352941","0,964705882352941","0,952941176470588",1,0,0,0,0,0,0,package://NEKEespelhado/meshes/modulo3.STL,,MontagemEspelhada.step-1/Modulo NEKE.step-7,Sistema de coordenadas4,,pitch2,revolute,"0,068","-0,005","0,005",0,0,0,barra2,0,0,1,0,0,0,0,,,,,,,,
barra3,"0,034","0,005","-8,67361737988404E-19",0,0,0,"0,00743451332235383","1,27348599328245E-07","1,03294178992559E-22","-8,80494987971485E-23","3,67536602194712E-06","8,82325986723229E-24","3,67536602194712E-06",0,0,0,0,0,0,package://NEKEespelhado/meshes/barra3.STL,"0,964705882352941","0,964705882352941","0,952941176470588",1,0,0,0,0,0,0,package://NEKEespelhado/meshes/barra3.STL,,MontagemEspelhada.step-1/Barra.step-6,Sistema de coordenadas5,,yaw3,revolute,"0,1133","-0,005","-0,005",0,0,0,modulo3,0,1,0,0,0,0,0,,,,,,,,
modulo4,"0,0566500000000001","-0,00286022630648331","0,00786022630648332",0,0,0,"0,385204158177987","0,000283262951837511","2,10601156242849E-05","2,1060115624285E-05","0,000268459177416828","4,56198332687296E-21","0,000268459177416828",0,0,0,0,0,0,package://NEKEespelhado/meshes/modulo4.STL,"0,964705882352941","0,964705882352941","0,952941176470588",1,0,0,0,0,0,0,package://NEKEespelhado/meshes/modulo4.STL,,MontagemEspelhada.step-1/Modulo NEKE.step-1,Sistema de coordenadas6,,pitch3,revolute,"0,068","0,005","-0,005",0,0,0,barra3,0,0,1,0,0,0,0,,,,,,,,
barra4,"0,034","-0,005",0,0,0,0,"0,00743451332235385","1,27348599328245E-07","-6,46234853557053E-24","-2,55262767155036E-23","3,67536602194713E-06","-5,31513174402073E-24","3,67536602194713E-06",0,0,0,0,0,0,package://NEKEespelhado/meshes/barra4.STL,"0,964705882352941","0,964705882352941","0,952941176470588",1,0,0,0,0,0,0,package://NEKEespelhado/meshes/barra4.STL,,MontagemEspelhada.step-1/Barra.step-1,Sistema de coordenadas7,,yaw4,revolute,"0,1133","0,005","0,005",0,0,0,modulo4,0,1,0,0,0,0,0,,,,,,,,
modulo5,"0,05665","0,00286022630648331","-0,00786022630648332",0,0,0,"0,385204158177987","0,000283262951837511","-2,10601156242851E-05","-2,10601156242849E-05","0,000268459177416828","-8,65454965661702E-21","0,000268459177416828",0,0,0,0,0,0,package://NEKEespelhado/meshes/modulo5.STL,"0,964705882352941","0,964705882352941","0,952941176470588",1,0,0,0,0,0,0,package://NEKEespelhado/meshes/modulo5.STL,,MontagemEspelhada.step-1/Modulo NEKE.step-2,Sistema de coordenadas8,,pitch4,revolute,"0,068","-0,005","0,005",0,0,0,barra4,0,0,1,0,0,0,0,,,,,,,,
barra5,"0,034","0,005",0,0,0,0,"0,00743451332235385","1,27348599328245E-07","-6,46234853557053E-24","-2,58493941422821E-23","3,67536602194713E-06","-5,31513174402073E-24","3,67536602194713E-06",0,0,0,0,0,0,package://NEKEespelhado/meshes/barra5.STL,"0,964705882352941","0,964705882352941","0,952941176470588",1,0,0,0,0,0,0,package://NEKEespelhado/meshes/barra5.STL,,MontagemEspelhada.step-1/Barra.step-2,Sistema de coordenadas9,,yaw5,revolute,"0,1133","-0,005","-0,005",0,0,0,modulo5,0,1,0,0,0,0,0,,,,,,,,
